blob_amount_contours,blob_angle,blob_area,blob_centroid_x,blob_centroid_y,blob_width,centroid_bottom_is_empty,centroid_is_empty,centroid_top_is_empty,grid_2_0,grid_2_1,grid_2_2,grid_2_3,grid_2_4,grid_2_5,grid_2_6,grid_2_7,grid_3_0,grid_3_1,grid_3_2,grid_3_3,grid_3_4,grid_3_5,grid_3_6,grid_3_7,grid_4_0,grid_4_1,grid_4_2,grid_4_3,grid_4_4,grid_4_5,grid_4_6,grid_4_7,grid_5_0,grid_5_1,grid_5_2,grid_5_3,grid_5_4,grid_5_5,grid_5_6,grid_5_7,number_of_holes,label
36,90.0,425.5,15.3877790834,15.3705444575,19,1,1,1,4,16,13,12,8,9,13,2,12,11,0,0,0,0,9,14,16,10,0,0,0,0,11,14,3,12,10,8,10,12,13,3,1,0
33,90.0,451.5,15.1598375784,15.2266519011,20,1,1,0,12,16,16,16,12,8,14,12,10,15,4,0,0,0,10,16,14,8,0,0,0,3,16,6,2,13,9,5,7,15,7,0,1,0
37,90.0,442.5,15.749905838,16.3009416196,21,1,1,0,3,12,16,14,9,12,13,3,16,15,4,0,0,0,4,8,14,13,0,0,0,0,10,14,1,9,15,13,13,13,16,16,1,0
31,90.0,443.5,15.5772266065,15.2435174746,20,1,1,1,4,13,14,12,12,15,16,7,12,10,1,0,0,0,13,16,16,4,0,0,0,2,15,13,10,14,12,8,10,16,11,0,1,0
32,90.0,442.5,15.3310734463,15.8998116761,20,1,1,0,7,15,11,7,5,10,12,2,16,13,1,0,0,0,8,16,10,16,12,0,0,0,5,16,0,5,15,10,8,10,15,10,1,0
49,81.8698978424,395.0,16.0890295359,17.6713080169,22,1,0,0,4,14,16,16,12,14,9,2,16,16,10,13,1,2,15,12,9,10,5,16,6,0,12,16,0,0,3,15,8,0,15,16,1,0
33,90.0,441.5,15.597583994,16.1057002643,21,1,1,0,10,14,16,16,16,15,12,6,16,16,4,4,0,7,15,16,11,16,7,0,0,0,12,16,0,8,13,13,12,10,16,10,1,0
35,90.0,440.5,16.2357169883,14.3881952327,20,1,1,0,4,16,16,16,16,16,10,2,16,12,5,6,7,10,16,16,16,10,0,0,0,4,16,14,16,15,9,8,13,16,8,2,1,0
38,90.0,407.0,15.4897624898,15.4316134316,20,1,1,0,3,12,16,15,12,16,14,2,16,14,1,0,0,1,13,16,14,8,0,0,0,2,14,9,1,11,13,9,11,15,13,1,1,0
26,90.0,465.0,15.0422939068,16.1698924731,20,1,1,0,14,16,16,16,16,16,16,16,16,14,7,4,3,1,10,16,11,15,5,0,0,0,8,16,0,6,14,14,10,10,15,11,1,0
33,90.0,372.0,15.9386200717,15.5376344086,17,1,1,0,1,9,12,14,15,16,11,1,9,16,16,12,9,8,15,8,16,16,7,0,0,2,14,10,3,12,12,8,10,14,15,1,1,0
34,90.0,462.0,15.437950938,16.1497113997,20,0,1,0,8,16,12,9,12,15,16,8,16,16,4,0,0,4,16,16,12,16,9,0,0,4,16,16,0,9,16,13,8,12,16,8,1,0
32,90.0,443.5,14.7591131154,15.7189026682,20,1,1,1,13,16,16,14,14,16,15,7,16,13,0,0,0,2,10,16,7,15,11,2,0,1,11,12,0,5,15,16,12,16,14,1,1,0
37,90.0,409.5,16.3304843305,16.4354904355,21,0,1,0,0,9,8,10,16,16,11,2,16,16,14,12,14,16,16,14,10,16,5,0,2,16,16,16,1,11,16,12,10,16,15,9,1,0
34,90.0,434.0,15.9646697389,17.0721966206,20,1,1,0,6,12,16,16,13,16,15,7,9,16,15,0,0,0,12,16,0,14,13,0,0,1,14,16,0,7,16,10,8,12,16,11,1,0
36,90.0,412.5,15.8141414141,15.9793939394,19,1,1,0,4,11,14,16,16,16,13,7,16,16,8,4,4,0,12,16,7,16,0,0,0,4,15,16,1,12,13,12,14,16,14,8,1,0
36,85.6012945175,442.0,16.4264705882,16.2190799397,21,0,1,1,0,9,16,13,8,12,11,1,9,13,3,0,0,0,10,11,16,8,0,0,0,0,1,16,6,14,9,4,4,4,7,16,1,0
34,90.0,433.0,15.5750577367,16.4330254042,20,1,1,0,10,15,16,13,13,12,12,8,16,16,9,0,0,0,9,16,3,15,9,0,0,0,13,16,0,5,14,10,8,11,16,10,1,0
36,-85.6012878418,448.0,15.7001488095,15.2935267857,21,1,1,0,12,15,16,13,13,13,16,11,5,16,6,0,0,0,12,16,9,16,5,0,0,7,16,10,7,16,13,8,8,16,10,0,1,0
43,78.6900672913,462.5,15.5455855856,16.0317117117,22,1,1,0,4,16,16,16,16,16,12,3,16,16,9,4,1,1,13,16,14,16,6,0,0,0,15,16,0,8,14,12,8,12,16,12,1,0
36,78.6900672913,415.5,16.1849177698,16.1929402327,21,1,1,0,1,8,11,16,16,15,10,1,16,16,12,8,8,5,14,14,16,13,2,0,0,0,12,16,2,9,12,9,10,14,16,9,1,0
33,90.0,451.5,15.419342931,15.2163159838,20,1,1,0,6,14,16,16,16,16,14,8,16,16,4,1,1,8,16,16,16,12,0,0,1,10,16,16,5,16,15,12,14,16,10,0,1,0
33,90.0,432.5,14.5456647399,15.1144508671,20,1,1,1,13,16,16,14,12,16,15,10,16,10,3,0,0,0,9,16,9,11,1,0,0,6,16,9,0,8,13,12,14,15,5,0,1,0
37,81.2538375854,450.5,15.1945985942,15.4546799852,21,1,1,0,10,16,15,12,11,11,14,9,16,16,0,0,0,0,13,16,14,16,3,0,0,6,16,14,0,9,12,5,7,16,14,2,1,0
43,63.4349498749,406.0,16.0611658456,15.7639573071,20,1,1,0,0,8,16,16,16,11,4,0,9,16,2,2,4,9,16,7,14,16,2,0,0,0,12,16,1,10,16,10,8,8,16,12,1,0
31,90.0,452.0,15.5040560472,16.4793510324,20,1,1,0,10,14,16,14,12,13,16,11,16,16,16,9,0,0,12,16,5,14,16,8,0,0,15,16,0,7,16,14,12,13,16,9,1,0
31,90.0,444.0,15.8243243243,15.9823573574,20,0,1,1,6,11,16,13,9,15,13,4,16,7,4,2,0,0,10,16,14,2,0,0,0,0,1,16,2,13,11,5,4,6,14,11,1,0
38,90.0,440.0,15.8587121212,15.3981060606,20,1,1,0,2,15,13,8,9,12,10,2,14,13,1,0,0,0,8,14,14,15,0,0,0,0,4,16,5,16,11,6,7,12,16,8,1,0
33,90.0,443.0,15.5895410083,15.9996237773,21,1,1,0,3,16,16,16,12,16,12,0,14,15,6,2,0,2,12,14,11,14,3,0,0,0,8,16,0,6,15,11,8,9,15,11,1,0
34,81.8698978424,456.0,16.1136695906,15.7649853801,22,0,1,1,5,16,15,13,13,13,14,7,16,2,4,3,0,0,1,16,16,3,0,0,0,0,0,16,5,13,5,1,1,4,13,11,1,0
32,90.0,446.5,15.4344904815,16.0888391191,21,1,1,0,4,16,11,10,12,14,12,2,16,16,4,0,0,0,10,14,7,16,8,0,0,0,9,16,0,5,14,14,11,9,15,9,1,0
32,90.0,423.5,15.3754427391,15.8351042896,20,1,1,0,8,13,14,16,12,12,15,6,16,13,4,2,0,0,6,16,14,8,0,0,0,0,8,14,1,12,12,5,8,9,14,3,1,0
36,90.0,467.0,15.6006423983,15.1891506067,20,1,1,0,4,14,15,12,12,12,16,6,16,14,1,0,0,0,9,16,16,12,0,0,0,0,14,14,9,15,9,8,9,14,11,0,1,0
41,83.6598081589,463.5,15.7317511686,15.9543329738,22,1,1,0,4,13,16,16,16,16,13,4,16,16,3,4,3,5,16,16,14,16,2,0,0,4,16,16,2,14,15,4,6,14,16,11,1,0
33,90.0,421.5,14.5666271253,15.7469355476,20,1,1,1,7,16,16,10,8,11,14,7,16,13,0,0,0,0,10,16,10,16,13,7,6,8,13,14,0,2,13,16,16,16,11,2,1,0
29,81.8698968887,438.0,15.6217656012,16.5905631659,21,1,1,0,3,15,15,12,12,14,12,2,16,16,5,0,0,0,9,16,3,15,8,0,0,0,5,16,0,1,12,12,6,7,14,14,1,0
43,90.0,414.5,14.9774829111,15.6300763973,20,1,1,1,8,16,13,12,12,15,13,4,14,10,0,0,0,0,9,16,6,13,5,0,0,1,13,13,0,3,12,11,9,16,11,0,1,0
34,90.0,427.5,15.1734892788,15.5828460039,20,1,1,1,12,13,15,12,8,8,14,13,16,10,6,0,0,0,10,14,11,13,1,0,0,5,16,3,0,10,11,4,5,15,10,0,1,0
34,90.0,421.0,15.6421219319,15.4073634204,20,1,1,0,2,9,15,16,16,16,14,3,16,14,2,0,0,4,14,14,14,14,1,0,0,2,14,14,1,13,13,9,10,14,9,1,1,0
36,90.0,448.5,15.6859903382,15.8885172798,21,1,1,0,3,16,16,16,8,14,14,3,16,15,6,5,0,0,13,16,14,13,0,0,0,0,12,16,1,11,14,5,4,7,16,4,1,0
34,85.2363581657,421.0,15.2727632621,15.9901029295,20,1,1,0,7,16,16,16,16,16,16,9,16,16,4,1,0,1,8,16,11,16,9,1,0,0,8,16,0,6,13,15,12,13,15,5,1,0
22,90.0,486.0,14.9845679012,15.9231824417,22,1,1,1,11,16,16,12,12,15,16,11,16,9,0,0,0,1,8,16,7,16,6,0,0,0,10,16,0,5,14,11,8,13,15,3,1,0
55,81.8698968887,240.5,15.9334719335,17.7013167013,21,1,1,0,6,5,5,12,13,16,16,6,11,16,4,0,0,1,16,16,0,12,13,1,0,5,16,12,0,0,11,14,9,13,14,2,0,0
33,90.0,434.0,15.7357910906,15.2415514593,20,1,1,0,4,15,16,11,8,12,13,4,14,15,12,5,0,0,10,14,16,8,0,0,0,0,14,14,4,15,8,4,9,13,11,1,1,0
36,90.0,433.0,15.53926097,15.8941493457,20,0,1,0,4,15,16,10,8,12,13,6,16,16,15,5,0,0,1,16,11,16,5,0,0,0,6,16,0,9,13,5,7,12,16,3,1,0
39,90.0,405.0,14.8139917695,14.9222222222,19,1,1,0,7,16,16,15,12,16,15,9,16,12,0,0,0,0,8,16,10,13,0,0,3,7,16,9,5,14,16,16,14,10,3,0,1,0
32,90.0,432.5,15.7275529865,16.0774566474,20,1,1,1,6,10,15,16,16,16,14,5,16,14,3,0,1,2,9,16,8,15,4,0,0,1,9,16,1,11,15,12,9,13,14,9,1,0
36,90.0,445.0,15.4262172285,15.6857677903,20,1,1,0,8,16,15,12,9,13,15,9,12,16,7,0,0,0,12,16,14,16,0,0,0,3,15,14,2,13,10,5,10,15,14,2,1,0
36,68.9624881744,473.0,16.1849894292,15.7593375617,23,1,1,0,4,16,16,16,16,15,10,5,14,14,1,0,0,2,12,16,16,14,2,0,0,0,12,16,3,13,15,9,8,11,16,11,1,0
35,90.0,455.5,15.2473472375,14.7735089645,20,1,1,0,10,16,16,16,13,14,16,12,16,16,12,1,0,2,16,16,16,16,8,0,1,12,16,8,16,16,15,12,14,16,8,0,1,0
32,-82.8749847412,438.5,15.8270619536,14.9064994299,20,1,1,0,6,9,16,12,8,8,14,4,16,16,4,0,0,0,5,16,16,7,0,0,0,0,11,13,12,7,1,4,6,11,8,0,1,0
36,90.0,439.5,16.0132726583,16.0940462647,21,1,1,1,1,11,15,14,9,12,13,2,12,14,4,0,0,0,5,16,16,12,0,0,0,0,6,16,2,13,15,9,10,13,16,13,1,0
34,90.0,446.0,15.3680866966,16.0085949178,20,1,1,1,10,16,15,12,12,14,16,6,16,9,0,0,0,0,9,16,9,10,0,0,0,0,8,16,0,9,10,6,4,7,14,5,1,0
31,90.0,458.5,15.3496910214,15.0985096329,20,1,1,1,4,16,13,6,5,10,15,8,13,7,0,0,0,0,12,16,8,6,0,0,0,5,15,10,16,14,12,12,13,16,10,1,1,0
34,90.0,510.0,15.7274509804,15.804248366,22,1,1,1,10,15,11,8,8,12,16,9,16,7,0,0,0,0,6,16,16,9,0,0,0,0,7,16,4,15,12,6,4,9,15,13,1,0
37,90.0,425.5,15.5158636898,14.8954171563,20,1,1,1,2,10,15,10,8,12,13,2,14,15,1,0,0,0,12,12,16,2,0,0,0,9,16,14,10,14,12,12,14,14,5,2,1,0
35,90.0,447.5,15.4182495345,16.0134078212,21,1,1,1,6,15,16,14,12,15,16,5,16,13,1,0,0,1,10,16,9,15,3,0,0,0,9,16,1,9,14,12,12,13,15,5,1,0
40,90.0,458.0,15.4730713246,15.15356623,21,1,1,0,5,16,10,4,6,13,10,2,16,16,9,0,0,1,11,14,16,16,4,0,0,0,9,16,4,14,14,8,8,13,15,9,1,0
33,-80.5376739502,441.0,15.753968254,15.0706727135,20,1,1,0,6,10,15,12,10,10,15,7,16,16,2,0,0,0,12,16,16,13,0,0,0,3,14,11,10,15,10,11,13,15,9,1,1,0
35,90.0,423.5,15.1660763479,15.3711137348,20,1,1,0,13,13,16,12,8,10,16,11,12,16,14,2,0,0,16,16,7,16,8,0,1,8,15,10,0,12,15,12,14,15,4,0,1,0
40,74.0546045303,441.0,15.0306122449,15.1659108088,21,1,1,1,7,16,12,13,15,14,12,2,16,9,0,0,0,0,9,14,14,11,0,0,0,0,12,14,0,10,11,8,9,15,12,4,1,0
37,90.0,457.5,15.6852459016,15.3435336976,20,1,1,0,4,16,9,8,8,14,12,2,16,12,0,0,0,1,16,14,16,15,0,0,0,0,16,16,8,14,12,6,4,7,16,8,1,0
28,90.0,472.0,15.3425141243,15.1818502825,20,1,1,0,7,16,15,10,9,14,16,9,12,16,11,0,0,0,16,16,16,16,1,0,0,3,16,9,7,16,13,8,8,15,13,0,1,0
32,90.0,453.0,16.2678440029,16.2641648271,21,0,1,0,0,7,15,15,12,12,15,2,12,16,5,0,0,0,4,14,16,10,1,0,0,0,0,13,7,12,11,5,4,4,10,14,1,0
38,90.0,441.0,16.5030234316,15.3023431595,21,1,1,0,0,6,16,16,16,16,11,1,11,15,12,3,0,7,16,11,16,12,0,0,0,0,16,16,14,16,9,8,8,12,16,6,1,0
31,90.0,512.0,15.9248046875,15.9866536458,23,1,1,1,6,15,16,11,9,13,15,7,16,13,9,0,0,0,10,16,16,10,0,0,0,0,4,16,7,15,12,7,4,7,12,14,1,0
29,90.0,509.0,15.3935821873,15.9004584152,22,1,1,1,10,15,12,9,10,14,16,10,16,5,0,0,0,0,9,16,14,13,1,0,0,0,5,16,1,13,15,8,5,7,15,12,1,0
39,90.0,447.5,15.4372439479,15.6059590317,21,0,1,0,9,15,14,12,12,15,15,6,16,16,4,0,0,8,16,16,16,16,6,0,1,14,16,16,2,11,16,8,12,16,15,1,1,0
32,90.0,499.5,15.3400066733,15.5231898565,22,1,1,1,16,15,12,12,12,12,15,12,16,4,0,0,0,0,4,16,14,10,0,0,0,0,11,16,2,15,10,4,4,9,14,4,1,0
35,90.0,512.0,15.6243489583,15.9700520833,23,1,1,0,6,16,16,12,10,14,14,5,16,14,4,1,0,0,9,16,11,14,3,0,0,0,9,16,1,12,15,7,4,9,16,16,1,0
37,90.0,430.5,15.6980255517,15.9194734804,19,1,1,0,9,15,16,16,16,16,14,9,16,15,12,8,6,4,14,16,14,14,0,0,0,0,12,16,0,9,14,10,10,15,16,9,1,0
32,90.0,425.5,15.0383862123,16.5562083823,20,1,1,0,9,12,16,13,12,16,16,13,12,15,16,4,0,1,16,16,0,11,16,5,0,5,16,11,0,6,16,15,12,15,13,1,1,0
37,90.0,421.5,15.5005931198,16.4393040728,20,1,1,0,4,12,16,14,12,14,13,8,16,16,11,0,0,1,9,16,9,15,7,0,0,0,9,16,0,3,14,12,14,16,16,6,1,0
30,90.0,462.5,15.7192792793,15.8158558559,20,1,1,1,9,15,12,12,8,12,15,7,16,8,0,0,0,0,6,16,10,15,4,0,0,0,6,16,3,15,13,8,5,8,15,10,1,0
35,90.0,426.5,15.4869089488,16.0539273154,20,1,1,1,2,14,16,13,13,16,13,4,14,12,1,0,0,0,4,16,9,12,0,0,0,0,7,16,0,7,16,11,8,9,16,4,1,0
37,85.6012949944,421.0,15.4386381631,15.6642913698,20,1,1,0,3,15,16,16,16,16,12,2,16,16,6,1,2,4,14,16,14,16,5,1,0,0,15,16,2,8,15,15,12,12,15,4,1,0
34,90.0,444.5,15.8815148106,15.8290213723,20,1,1,0,6,14,13,12,15,15,12,4,16,14,0,0,0,2,14,16,14,14,1,0,0,0,13,16,1,13,14,10,5,7,16,10,1,0
35,90.0,446.0,15.4940209268,16.0463378176,20,1,1,1,8,14,13,8,8,11,15,5,16,9,0,0,0,0,7,14,11,13,2,0,0,0,4,16,1,12,15,8,5,6,13,11,1,0
39,-81.4692306519,398.0,15.480318258,16.2889447236,20,1,1,1,8,7,9,14,16,13,16,10,16,8,2,3,0,0,9,16,6,14,4,0,1,8,15,12,0,7,13,12,14,16,13,1,1,0
31,90.0,451.0,14.6042128603,15.4988913525,20,1,1,0,13,16,13,15,12,15,16,13,16,16,4,0,0,0,16,16,10,16,9,0,0,1,16,13,0,11,16,15,13,16,9,0,1,0
37,90.0,429.5,15.1889794334,16.832363213,20,1,1,0,10,8,14,16,13,14,16,11,16,12,0,0,0,2,16,16,11,15,4,0,0,2,16,16,0,2,13,13,12,13,16,9,1,0
33,81.8698978424,408.5,16.4447164423,16.2492860057,21,1,1,1,0,4,10,16,16,16,8,0,10,15,9,6,4,5,14,11,14,8,0,0,0,0,8,16,1,12,10,5,6,6,15,11,1,0
37,78.6900672913,457.5,15.6047358834,16.0706739526,22,1,1,0,4,16,14,12,12,16,10,2,16,16,4,0,0,4,14,14,10,16,7,0,0,0,12,16,0,6,14,12,6,5,14,14,1,0
33,90.0,400.5,15.1697877653,16.3678734915,20,1,1,0,2,13,16,16,16,15,11,3,14,16,12,8,8,9,14,16,6,13,14,5,1,2,11,16,0,2,11,16,14,15,15,3,1,0
36,90.0,422.0,15.0075039494,15.9198262243,20,1,1,0,8,15,16,16,13,15,14,4,16,16,1,0,0,2,10,16,7,16,9,1,1,0,12,16,0,5,14,16,16,16,13,4,1,0
36,90.0,441.0,15.6575963719,16.3798185941,21,1,1,1,3,15,13,10,8,12,13,3,14,11,0,0,0,0,5,16,8,11,2,0,0,0,4,16,0,6,16,10,8,4,13,11,1,0
34,90.0,471.0,15.8269639066,15.9217975938,21,0,1,1,3,13,12,9,8,9,15,6,16,5,0,0,0,0,3,16,16,4,0,0,0,0,1,16,7,13,10,5,4,4,9,11,1,0
34,90.0,435.5,15.9177190968,16.570608496,21,1,1,0,2,9,15,16,12,14,15,3,16,16,11,2,0,1,15,16,9,16,3,0,0,0,14,16,0,6,14,9,8,8,16,11,1,0
60,90.0,290.5,15.8577165806,17.0218014917,20,0,1,0,9,16,14,12,13,16,16,9,0,4,2,0,0,8,16,16,9,13,7,0,0,8,16,13,8,16,16,13,12,15,16,3,0,0
54,90.0,231.5,17.0935925126,16.7645788337,21,1,1,0,0,0,1,8,11,15,7,0,9,13,11,0,0,7,16,6,16,16,5,0,0,0,13,16,5,13,13,6,4,4,13,16,0,0
36,90.0,449.5,15.637374861,15.6559139785,20,1,1,0,7,14,16,16,13,16,14,4,16,16,4,0,0,1,10,14,14,16,10,0,0,0,10,16,3,14,16,13,12,14,15,9,1,0
36,81.8698978424,403.5,15.5708384965,15.7542337877,20,1,1,0,4,12,16,16,16,15,12,6,14,16,16,14,9,8,16,16,7,16,10,0,0,4,16,14,0,11,16,14,12,16,12,1,1,0
31,90.0,451.5,15.6917681801,15.9342930971,20,1,1,1,2,12,16,16,12,15,15,5,14,12,4,1,0,1,11,16,16,10,0,0,0,0,8,16,4,13,15,8,8,9,16,5,1,0
23,90.0,485.5,15.4596635771,15.6350841057,21,1,1,0,7,16,16,16,13,16,15,7,16,16,11,4,0,0,8,16,16,12,0,0,0,0,9,16,8,14,16,13,12,13,16,13,1,0
33,90.0,462.0,15.5995670996,14.882034632,21,1,1,0,16,16,16,15,12,12,16,12,4,16,12,3,0,0,13,14,16,13,1,0,0,7,16,5,14,14,8,5,8,15,6,0,1,0
32,90.0,465.0,15.7444444444,15.5168458781,20,1,1,0,4,15,13,9,11,13,14,3,16,13,0,0,0,0,12,16,16,16,10,0,0,0,8,16,8,15,14,8,8,8,16,5,1,0
31,90.0,427.5,16.1099415205,15.546588694,19,1,1,1,2,11,15,12,14,16,10,1,14,9,1,0,0,4,13,14,16,9,0,0,0,0,5,16,6,15,16,13,12,13,16,8,1,0
28,90.0,471.5,15.1721456345,15.5676917639,20,1,1,0,16,16,16,15,12,12,16,10,16,16,9,0,0,0,12,16,12,16,8,0,0,0,14,16,2,15,14,8,8,12,13,3,1,0
30,90.0,422.5,15.3439842209,16.1609467456,20,1,1,0,10,14,16,16,16,16,16,8,16,16,12,8,8,0,12,16,11,16,6,0,0,6,16,16,1,6,15,14,12,15,15,8,1,0
35,90.0,442.0,15.0263951735,15.1840120664,20,1,1,1,6,16,16,16,15,12,14,7,16,7,2,3,3,0,9,16,14,6,0,0,0,1,15,7,1,10,11,5,8,14,9,1,1,0
32,79.6951532364,418.5,15.556352051,16.8940661091,21,1,1,0,4,9,16,16,15,13,16,7,16,16,16,6,0,0,10,16,3,16,16,1,0,0,9,16,0,4,14,16,12,12,16,9,1,0
26,90.0,430.5,15.2922957801,15.3372048006,20,1,1,0,6,15,15,12,13,13,16,11,16,11,0,0,0,0,16,16,16,9,0,0,0,4,16,8,2,10,7,4,11,16,7,0,1,0
31,90.0,416.0,15.3758012821,15.9703525641,18,1,1,1,3,13,16,16,16,16,14,3,16,14,5,0,0,1,11,14,11,15,8,4,3,0,9,16,0,10,16,16,15,12,16,5,1,0
34,90.0,435.0,15.0869731801,16.3329501916,20,1,1,0,6,13,16,15,12,12,15,5,16,16,3,0,0,0,13,16,8,16,5,0,0,0,13,16,0,6,15,11,8,9,16,13,1,0
39,90.0,405.5,15.6083025072,15.7875051377,19,1,1,0,4,11,15,16,16,16,11,4,16,16,9,8,10,12,16,16,13,16,0,0,0,2,16,14,1,7,12,8,8,15,13,2,1,0
31,90.0,442.0,15.6945701357,15.9860482655,20,1,1,0,6,14,13,8,13,16,13,4,16,16,1,0,0,2,15,14,14,16,3,0,0,0,12,16,1,10,15,11,8,9,16,13,1,0
36,83.6598086357,448.5,15.7138610182,16.2798216276,21,1,1,1,3,14,16,13,12,13,15,6,14,11,4,1,0,0,8,16,16,11,0,0,0,0,4,16,1,8,12,9,5,4,13,11,1,0
37,90.0,425.0,15.3678431373,14.6415686275,20,1,1,0,4,16,16,12,12,16,12,4,12,16,6,0,0,6,16,16,16,16,0,0,0,6,16,10,14,16,12,12,12,14,7,0,1,0
46,90.0,417.0,15.6554756195,16.1878497202,21,1,1,0,2,9,16,16,16,16,11,3,16,15,8,2,1,1,12,14,8,14,2,0,0,0,8,16,0,6,14,12,10,13,15,9,1,0
29,90.0,407.5,15.2899795501,15.1038854806,19,1,1,0,7,16,16,16,16,16,16,8,16,14,8,4,5,4,5,16,14,14,6,2,2,11,15,9,1,13,16,16,16,14,5,0,1,0
32,90.0,441.5,15.6817667044,16.4873537184,20,1,1,0,5,9,15,12,12,12,16,5,16,15,6,0,0,0,7,16,11,13,0,0,0,0,5,16,0,9,12,8,5,7,15,10,1,0
35,90.0,434.5,16.0375911009,16.4326812428,20,1,1,0,3,11,14,16,16,16,15,3,10,16,13,10,1,0,10,16,13,16,4,0,0,0,9,16,0,11,15,9,8,8,15,8,1,0
28,90.0,466.5,15.7984994641,15.6016434441,20,1,1,0,4,16,16,16,16,16,14,3,16,16,2,0,0,6,14,16,16,16,1,0,0,0,8,16,3,15,14,5,4,9,16,16,1,0
38,90.0,435.0,16.046743295,16.5781609195,20,1,1,0,3,11,16,14,12,14,12,2,14,12,6,1,0,0,9,14,12,11,0,0,0,0,8,16,0,5,10,7,4,4,12,14,1,0
36,90.0,451.5,15.7290513104,16.0826873385,21,1,1,0,6,15,16,12,12,16,16,6,16,16,16,0,0,0,5,16,2,16,16,0,0,0,7,16,0,14,16,8,8,9,15,8,1,0
41,90.0,456.5,15.6334428624,15.9185834246,21,1,1,0,2,15,14,12,12,15,13,3,14,12,1,0,0,0,9,14,12,9,0,0,0,0,8,16,2,13,14,8,8,8,15,10,1,0
36,90.0,367.5,15.5514739229,15.6222222222,18,1,1,0,6,11,15,16,14,12,10,6,14,16,10,4,4,4,10,16,6,16,3,0,0,5,15,13,0,6,16,16,16,15,8,0,1,0
34,90.0,428.0,16.0790498442,16.0237538941,20,1,1,0,0,11,16,12,16,15,9,0,12,16,5,0,0,7,16,14,16,16,6,0,0,4,16,16,2,10,12,6,6,13,16,12,1,0
29,90.0,507.0,15.5562130178,15.8057199211,22,1,1,0,8,16,12,8,8,10,16,7,16,15,0,0,0,0,9,16,16,9,0,0,0,0,8,16,5,13,12,6,4,7,14,9,1,0
35,90.0,427.0,15.4574551132,17.206479313,21,1,1,0,7,15,12,9,8,9,15,7,12,12,3,0,0,0,8,16,0,2,16,8,0,0,9,16,0,4,16,7,4,4,15,11,1,0
30,90.0,446.5,15.4699514744,16.1896229937,20,1,1,0,9,16,16,12,12,16,16,8,11,16,12,0,0,0,11,16,2,16,11,0,0,0,11,14,0,10,16,9,8,8,15,5,1,0
36,90.0,449.5,15.3585465332,15.5368928439,20,1,1,0,3,15,11,8,8,10,14,10,14,12,0,0,0,0,5,16,16,16,11,0,0,0,7,12,4,12,14,5,4,10,14,1,1,0
32,90.0,450.0,14.8525925926,15.5522222222,20,1,1,0,11,16,16,13,12,14,16,9,16,14,5,0,0,1,16,16,16,15,3,0,0,2,16,14,1,8,15,15,12,14,13,3,1,0
